policy_생계급여,policy_의료급여,policy_주거급여,policy_교육급여,policy_공적연금,policy_고용보험,policy_산재보험,policy_자활근로,age,gender,household_size,marriage,edu,job_yn,employ_type,income_monthly,income_annual,region,hc,pension_type,health_insurance
0,0,0,0,0.0,0.0,0.0,0,80,여,1,미혼,대학이상,미취업,무직,59.4,713.0,1,2,0,3
0,0,0,0,0.0,0.0,0.0,0,77,남,1,미혼,대학이상,취업,임시일용근로자,267.2,3206.0,1,1,0,1
0,0,0,0,1.0,0.0,0.0,0,83,남,1,미혼,고졸이하,미취업,무직,184.7,2216.0,1,1,1,1
1,1,1,0,0.0,0.0,0.0,0,63,남,4,기혼,고졸이하,취업,상용근로자,560.8,6729.0,1,1,4,1
1,1,1,0,0.0,0.0,0.0,0,62,여,4,기혼,고졸이하,취업,임시일용근로자,560.8,6729.0,1,1,4,1
1,1,1,0,0.0,0.0,0.0,0,22,여,4,미혼,고졸이하,미취업,무직,560.8,6729.0,1,1,0,2
1,1,1,0,,,,0,91,여,4,미혼,고졸이하,미취업,무직,560.8,6729.0,1,1,0,5
0,0,0,0,0.0,0.0,0.0,0,85,여,1,미혼,고졸이하,취업,고용원있는사업자,164.0,1968.0,2,2,0,2
0,1,1,0,0.0,0.0,0.0,0,55,여,2,미혼,고졸이하,취업,임시일용근로자,199.8,2398.0,1,2,2,6
0,1,1,0,0.0,0.0,0.0,0,33,여,2,미혼,고졸이하,취업,임시일용근로자,199.8,2398.0,1,2,2,6
0,0,0,0,1.0,0.0,0.0,0,85,남,2,기혼,대학이상,미취업,무직,176.2,2115.0,1,2,1,2
0,0,0,0,0.0,0.0,0.0,0,84,여,2,기혼,대학이상,미취업,무직,176.2,2115.0,1,2,0,2
1,1,1,0,0.0,0.0,0.0,0,63,남,1,미혼,고졸이하,미취업,무직,93.2,1118.0,1,2,0,6
0,0,0,0,0.0,0.0,0.0,0,47,남,4,기혼,대학이상,취업,상용근로자,661.1,7933.0,1,1,2,1
0,0,0,0,0.0,0.0,0.0,0,50,여,4,기혼,대학이상,취업,임시일용근로자,661.1,7933.0,1,1,2,2
0,0,0,0,0.0,0.0,0.0,0,21,여,4,미혼,대학이상,미취업,무직,661.1,7933.0,1,1,0,2
0,0,0,0,,,,0,17,여,4,미혼,대학이상,미취업,무직,661.1,7933.0,1,1,0,2
0,0,0,0,1.0,0.0,0.0,0,84,남,2,기혼,고졸이하,미취업,무직,309.4,3713.0,1,1,1,3
0,0,0,0,0.0,0.0,0.0,0,83,여,2,기혼,고졸이하,취업,임시일용근로자,309.4,3713.0,1,1,0,4
1,1,1,0,0.0,0.0,0.0,0,61,남,1,미혼,대학이상,미취업,무직,136.3,1636.0,1,2,0,5
0,0,0,0,0.0,0.0,0.0,0,50,남,1,미혼,고졸이하,취업,무급가족종사자,342.5,4110.0,1,1,2,3
0,0,0,0,0.0,0.0,0.0,0,64,여,3,기혼,고졸이하,취업,임시일용근로자,856.9,10283.0,1,1,0,1
0,0,0,0,0.0,0.0,0.0,0,64,남,3,기혼,고졸이하,취업,임시일용근로자,856.9,10283.0,1,1,4,3
0,0,0,0,0.0,0.0,0.0,0,39,여,3,미혼,고졸이하,취업,상용근로자,856.9,10283.0,1,1,2,1
0,0,0,0,0.0,0.0,0.0,0,63,여,4,기혼,대학이상,취업,임시일용근로자,929.2,11151.0,1,1,4,1
0,0,0,0,0.0,0.0,0.0,0,40,여,4,미혼,대학이상,취업,상용근로자,929.2,11151.0,1,1,2,1
